Model,Giá tiêu chuẩn,ID,Phong Vũ,Nguyễn Kim,Điện máy xanh,FPT Shop,Pico,Mediamart,HC,Phúc Anh,CPN,An Phát,Hà Nội Computer
HL-L2321D,2900000,1,https://phongvu.vn/may-in-brother-hl-l2321d-in-2-m-t-t-d-ng-s1404531.html,,https://www.dienmayxanh.com/may-in/may-in-laser-brother-hl-l2321d,https://fptshop.com.vn/may-in/may-in-brother-laser-hl-l2321d,https://pico.vn/27041/may-in-laser-brother-hll2321d.html,https://mediamart.vn/may-in/brother/may-in-brother-hl-l2321d-induplex.htm,https://hc.com.vn/ords/p--may-in-laser-brother-hl-l2321d-in-duplex,https://www.phucanh.vn/may-in-laser-den-trang-brother-hl-l2321d.html,https://cpn.vn/products/may-in-laser-brother-hl-l2321d.html,https://www.anphatpc.com.vn/may-in-laser-brother-hl-l2321d-duplex_id17113.html,https://www.hanoicomputer.vn/brother-hl-l2321d-in-laser
HL-L2361DN,3500000,2,https://phongvu.vn/may-in-brother-hl-l2361dn-s1403955.html,https://www.nguyenkim.com/may-in-laser-trang-den-brother-hl-l2361dn.html,,,https://pico.vn/27286/may-in-laser-brother-hll2361dn.html,https://mediamart.vn/may-in/brother/may-in-da-chuc-nang-brother-hl-l2361dn-induplexnetwork.htm,https://hc.com.vn/ords/p--may-in-laser-brother-hl-l2361dn-in-mang-duplex,,https://cpn.vn/products/may-in-laser-brother-hl-l2361dn.html,https://www.anphatpc.com.vn/may-in-laser-brother-hl-l2361dn_id17837.html,https://www.hanoicomputer.vn/brother-hl-l2361dn-in-laser
HL-L2366DW,3900000,3,https://phongvu.vn/may-in-brother-hl-l2366dw-s1404607.html,https://www.nguyenkim.com/may-in-laser-brother-hl-l2366dw.html,https://www.dienmayxanh.com/may-in/may-in-laser-brother-hl-l2366dw,,https://pico.vn/28876/may-in-laser-brother-hll2366dw.html,https://mediamart.vn/may-in/brother/may-in-laser-brother-hll2366dw-induplexlanwifi.htm,https://hc.com.vn/ords/p--may-in-laser-brother-hl-l2366dw-in-mang-duplex-wifi,,https://cpn.vn/products/may-in-laser-brother-hl-l2366dw---a4%7B47%7Da5-in-dao-mat--wifi-%2C-3.html,https://www.anphatpc.com.vn/may-in-laser-brother-hl-l2366dw_id17836.html,https://www.hanoicomputer.vn/may-in-brother-hl-l2366dw-in-laser
DCP-L2520D,4400000,4,https://phongvu.vn/may-in-brother-dcp-l2520d-s1602364.html,https://www.nguyenkim.com/may-in-da-nang-laser-brother-dcp-l2520d.html,https://www.dienmayxanh.com/may-in/may-in-da-chuc-nang-brother-dcp-l2520d-in-photo,https://fptshop.com.vn/may-in/may-in-laser-brother-da-chuc-nang-dcp-l2520d,https://pico.vn/34057/may-in-da-chuc-nang-dcpl2520d-brother-in-lase-photocopy-scan-mau.html,https://mediamart.vn/may-in/brother/may-in-brother-laser-dcpl2520d-inscancopydulex.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-dcp-l2520d-in-laser-copy-scan-duplex,https://www.phucanh.vn/may-in-laser-den-trang-brother-dpc-l2520d-in-laser-photocopy-scan-mau-.html,https://cpn.vn/products/may-in-laser-brother-da-nang-brother-dcp-l2520d---a4%2C-a5%2C-27.html,https://www.anphatpc.com.vn/may-in-laser-da-nang-brother-dcp-l2520d-khong-fax_id21542.html,https://www.hanoicomputer.vn/may-in-brother-dcp-l2520d-lazer-da-chuc-nang-copyquet
DCP-B7535DW,5500000,5,https://phongvu.vn/may-in-brother-dcp-b7535dw-s18120286.html,https://www.nguyenkim.com/may-in-laser-brother-dcp-b7535dw.html,,,https://pico.vn/39880/may-in-da-chuc-nang-dcpb7535dw.html,https://mediamart.vn/may-in/brother/may-in-laser-brother-dcpb7535dw.htm,,https://www.phucanh.vn/may-in-laser-den-trang-brother-dcp-b7535dw-print-scan-copy-wifi.html,https://cpn.vn/products/may-in-laser-da-nang-brother-dcp-b7535dw.html,,https://www.hanoicomputer.vn/may-in-brother-dcp-b7535dw-in-den-trang-da-nang
MFC-L2701D,5700000,6,https://phongvu.vn/may-in-brother-mfc-l2701d-s1500335.html,https://www.nguyenkim.com/may-in-laser-brother-mfc-l2701d.html,,,https://pico.vn/28268/may-in-laser-den-trang-da-chuc-nang-brother-mfcl2701d-co-fax.html,https://mediamart.vn/may-in/brother/may-in-laser-da-chuc-nang-brother-mfcl2701d-inscancopyfaxduplex.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-mfc-l2701d-in-laser-copy-scan-fax-duplex,,https://cpn.vn/products/may-in-laser-brother-da-nang-mfc-l2701d-%28i-f-p-s%29%2C-30t%7B47%7D1p%2C-b.html,https://www.anphatpc.com.vn/may-in-laser-da-chuc-nang-brother-mfc-l2701d_id17829.html,https://www.hanoicomputer.vn/may-in-brother-mfc-l2701d-in-da-nang
MFC-L2701DW,6400000,7,https://phongvu.vn/may-in-brother-mfc-l2701dw-s1500457.html,https://www.nguyenkim.com/may-in-laser-brother-mfc-l2701dw.html,,,https://pico.vn/31974/may-in-laser-den-trang-da-chuc-nang-brother-mfcl2701dw-co-faxwifi.html,https://mediamart.vn/may-in/brother/may-in-da-chuc-nang-brother-mfc-l2701dw.htm,https://hc.com.vn/ords/p--may-in-dcn-brother-mfc-l2701dw-in-laser-copy-scan-fax-duplex-wifi,,https://cpn.vn/products/may-in-laser-brother-da-nang-mfc-l2701dw%28in%2C-fax%2C-copy%2C-scan.html,https://www.anphatpc.com.vn/may-in-laser-da-chuc-nang-brother-mfc-l2701dw_id17828.html,https://www.hanoicomputer.vn/may-in-brother-mfc-l2701dw-in-da-nang
HL-L5100DN,9000000,8,https://phongvu.vn/may-in-brother-hl-l5100dn-s1603551.html,https://www.nguyenkim.com/may-in-laser-brother-hl-l5100dn.html,,,,,,https://www.phucanh.vn/may-in-laser-den-trang-brother-hl-l5100dn.html,https://cpn.vn/products/may-in-laser-brother-hl-l5100dn---a4%2C-42-trang%7B47%7Dphut%2C-1200dpi.html,https://www.anphatpc.com.vn/may-in-brother-hl-l5100dn_id21541.html,https://www.hanoicomputer.vn/may-in-brother-hl-l5100dn
MFC-L5700DN,16350000,9,,,,,,,,https://www.phucanh.vn/may-in-laser-brother-da-chuc-nang-mfc-l5700dn-print/-scan/-copy/-fax-pc/-in-mang.html,https://cpn.vn/products/may-in-laser-den-trang-da-chuc-nang-brother-mfc-5700dn-%28in%2C-.html,https://www.anphatpc.com.vn/may-in-laser-da-nang-brother-mfc-l5700dn_id21546.html,
MFC-L5900DW,21650000,10,,,,,,,,https://www.phucanh.vn/may-in-laser-den-trang-brother-mfc-l5900dw-print/-scan/-copy/-fax-pc/-in-mang.html,,https://www.anphatpc.com.vn/may-in-laser-da-nang-brother-mfc-l5900dw_id21545.html,https://hacom.vn/may-in-brother-mfc-l5900dw---in-den-trang-da-nang
HL-L6200DW,13900000,11,,,,,,,,https://www.phucanh.vn/may-in-laser-den-trang-brother-hl-l6200dw-in-duplex-wifi.html,,https://www.anphatpc.com.vn/may-in-brother-hl-l6200dw_id21540.html,https://www.hanoicomputer.vn/may-in-brother-hl-l6200dw
MFC-L6900DW,24000000,12,,,,,,,,,,https://www.anphatpc.com.vn/may-in-brother-laser-da-nang-mfc-l6900dw_id25881.html,https://www.hanoicomputer.vn/may-in-brother-mfc-l6900dw-in-den-trang-da-nang
HL-L8260CDN,9900000,13,https://phongvu.vn/may-in-brother-hl-l8260cdn-s1702635.html,,,,,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-hll8260cdn-induplexnetwork.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-hl-l8260cdn-in-duplex-network.html,,https://www.anphatpc.com.vn/may-in-laser-mau-don-nang-brother-hl-l8260cdn_id25164.html,https://www.hanoicomputer.vn/may-in-brother-hl-l8260cdn-in-laser-mau
HL-L8360CDW,11000000,14,https://phongvu.vn/may-in-brother-hl-l8360cdw-s1702781.html,,,,,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-hll8360cdw-induplexnetworkwifi.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-hl-l8360cdw-in-duplex-network-wifi.html,,https://www.anphatpc.com.vn/may-in-laser-mau-don-nang-brother-hl-l8360cdw_id25165.html,https://www.hanoicomputer.vn/may-in-brother-hl-l8360cdw-in-laser-mau
HL-L8690CDW,16100000,15,https://phongvu.vn/may-in-brother-mfc-l8690cdw-s1702501.html,,,,,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-mfcl8690cdw.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-mfc-l8690cdw-print-copy-scanfax-wifi.html,,https://www.anphatpc.com.vn/may-in-laser-mau-da-nang-brother-mfc-l8690cdw_id25166.html,https://www.hanoicomputer.vn/may-in-brother-mfc-l8690cdw-in-laser-mau-da-nang
HL-L3230CDN,6500000,16,https://phongvu.vn/may-in-laser-mau-brother-hl-l3230cdn-s1810524.html,https://www.nguyenkim.com/may-in-brother-mau-hl-l3230cdn.html,,,,https://mediamart.vn/may-in/brother/may-in-laser-mau-brother-hll3230cdn-induplexnetwork.htm,,https://www.phucanh.vn/may-in-laser-mau-brother-hl-l3230cdn-in-duplex-in-mang.html,https://cpn.vn/products/may-in-laser-mau-don-nang-brother-hl-l3230cdn---a4-in-dao-ma.html,https://www.anphatpc.com.vn/may-in-brother-hl-l3230cdn_id27512.html,https://www.hanoicomputer.vn/may-in-brother-hl-l3230cdn-in-laser-mau
